coach,from,to
Curly Lambeau,1921-01-01,1950-01-31
Gene Ronzani,1950-02-01,1953-11-26
Hugh Devore & Scooter McLean,1953-11-27,1954-01-31
Lisle Blackbourn,1954-02-01,1958-01-31
Scooter McLean,1958-02-01,1959-01-31
Vince Lombardi,1959-02-01,1968-01-31
Phil Bengtson,1968-02-01,1971-01-31
Dan Devine,1971-02-01,1975-01-31
Bart Starr,1975-02-01,1984-01-31
Forrest Gregg,1984-02-01,1988-01-31
Lindy Infante,1988-02-01,1992-01-31
Mike Holmgren,1992-02-01,1999-01-31
Ray Rhodes,1999-02-01,2000-01-31
Mike Sherman,2000-02-01,2006-01-31
Mike McCarthy,2006-02-01,2018-12-02
Joe Philbin,2018-12-03,2019-01-31
Matt LaFleur,2019-02-01,
