date,season,regular_season,playoff,superbowl,Opponent,Packers Win,packers_score,opponent_score,location
1921-10-23,1921,1,0,,Minneapolis Red Jackets,WIN,7,6,HOME
1921-10-30,1921,1,0,,Rock Island Independents,LOSS,3,13,HOME
1921-11-06,1921,1,0,,Evansville Crimson Giants,WIN,43,6,HOME
1921-11-13,1921,1,0,,Hammond Pros,WIN,14,7,HOME
1921-11-20,1921,1,0,,Arizona Cardinals,TIE,3,3,AWAY
1921-11-27,1921,1,0,,Chicago Bears,LOSS,0,20,AWAY
1922-10-01,1922,1,0,,Rock Island Independents,LOSS,14,19,AWAY
1922-10-08,1922,1,0,,Racine Tornadoes,LOSS,6,10,HOME
1922-10-15,1922,1,0,,Arizona Cardinals,LOSS,3,16,AWAY
1922-10-22,1922,1,0,,Milwaukee Badgers,TIE,0,0,AWAY
1922-10-29,1922,1,0,,Rock Island Independents,TIE,0,0,HOME
1922-11-05,1922,1,0,,Columbus Tigers,WIN,3,0,HOME
1922-11-12,1922,1,0,,Minneapolis Red Jackets,WIN,14,6,HOME
1922-11-19,1922,1,0,,Racine Tornadoes,TIE,3,3,AWAY
1922-11-26,1922,1,0,,Milwaukee Badgers,WIN,13,0,HOME
1922-12-03,1922,1,0,,Racine Tornadoes,WIN,14,0,AWAY
1923-09-30,1923,1,0,,Minneapolis Red Jackets,WIN,12,0,HOME
1923-10-07,1923,1,0,,St. Louis All-Stars,TIE,0,0,HOME
1923-10-14,1923,1,0,,Chicago Bears,LOSS,0,3,HOME
1923-10-21,1923,1,0,,Milwaukee Badgers,WIN,12,0,HOME
1923-10-28,1923,1,0,,Racine Tornadoes,LOSS,3,24,HOME
1923-11-04,1923,1,0,,St. Louis All-Stars,WIN,3,0,AWAY
1923-11-11,1923,1,0,,Racine Tornadoes,WIN,16,0,AWAY
1923-11-18,1923,1,0,,Milwaukee Badgers,WIN,10,7,AWAY
1923-11-25,1923,1,0,,Newark Tornadoes,WIN,10,0,HOME
1923-11-29,1923,1,0,,Hammond Pros,WIN,19,0,HOME
1924-09-28,1924,1,0,,Newark Tornadoes,LOSS,3,6,AWAY
1924-10-05,1924,1,0,,Arizona Cardinals,LOSS,0,3,AWAY
1924-10-12,1924,1,0,,Kansas City Cowboys,WIN,16,0,HOME
1924-10-19,1924,1,0,,Milwaukee Badgers,WIN,17,0,HOME
1924-10-26,1924,1,0,,Minneapolis Red Jackets,WIN,19,0,HOME
1924-11-02,1924,1,0,,Racine Tornadoes,WIN,6,3,HOME
1924-11-09,1924,1,0,,Newark Tornadoes,WIN,13,0,HOME
1924-11-16,1924,1,0,,Milwaukee Badgers,WIN,17,10,AWAY
1924-11-23,1924,1,0,,Chicago Bears,LOSS,0,3,AWAY
1924-11-27,1924,1,0,,Kansas City Cowboys,WIN,17,6,AWAY
1924-11-30,1924,1,0,,Racine Tornadoes,LOSS,0,7,AWAY
1925-09-20,1925,1,0,,Hammond Pros,WIN,14,0,HOME
1925-09-27,1925,1,0,,Chicago Bears,WIN,14,10,HOME
1925-10-04,1925,1,0,,Rock Island Independents,LOSS,0,3,AWAY
1925-10-11,1925,1,0,,Milwaukee Badgers,WIN,31,0,HOME
1925-10-18,1925,1,0,,Rock Island Independents,WIN,20,0,HOME
1925-10-25,1925,1,0,,Rochester Jeffersons,WIN,33,13,HOME
1925-11-01,1925,1,0,,Milwaukee Badgers,WIN,6,0,AWAY
1925-11-08,1925,1,0,,Arizona Cardinals,LOSS,6,9,AWAY
1925-11-15,1925,1,0,,Dayton Triangles,WIN,7,0,HOME
1925-11-22,1925,1,0,,Chicago Bears,LOSS,0,21,AWAY
1925-11-26,1925,1,0,,Boston Bulldogs,LOSS,0,31,AWAY
1925-11-28,1925,1,0,,Franford Yellow Jackets,LOSS,7,13,AWAY
1925-12-06,1925,1,0,,Providence Steam Roller,WIN,13,10,AWAY
1926-09-19,1926,1,0,,Detroit Panthers,WIN,21,0,HOME
1926-09-26,1926,1,0,,Chicago Bears,TIE,6,6,HOME
1926-10-03,1926,1,0,,Newark Tornadoes,TIE,0,0,HOME
1926-10-10,1926,1,0,,Arizona Cardinals,LOSS,7,13,HOME
1926-10-17,1926,1,0,,Milwaukee Badgers,WIN,7,0,HOME
1926-10-24,1926,1,0,,Racine Tornadoes,WIN,35,0,HOME
1926-10-31,1926,1,0,,Arizona Cardinals,WIN,3,0,AWAY
1926-11-07,1926,1,0,,Milwaukee Badgers,WIN,21,0,AWAY
1926-11-14,1926,1,0,,Louisville Colonels,WIN,14,0,HOME
1926-11-21,1926,1,0,,Chicago Bears,LOSS,13,19,AWAY
1926-11-25,1926,1,0,,Franford Yellow Jackets,LOSS,14,20,AWAY
1926-11-28,1926,1,0,,Detroit Panthers,WIN,7,0,AWAY
1926-12-19,1926,1,0,,Chicago Bears,TIE,3,3,HOME
1927-09-18,1927,1,0,,Dayton Triangles,WIN,14,0,HOME
1927-09-25,1927,1,0,,Cleveland Bulldogs,WIN,12,7,HOME
1927-10-02,1927,1,0,,Chicago Bears,LOSS,6,7,HOME
1927-10-09,1927,1,0,,Newark Tornadoes,WIN,20,0,HOME
1927-10-16,1927,1,0,,Arizona Cardinals,WIN,13,0,HOME
1927-10-23,1927,1,0,,Staten Island Stapletons,WIN,13,0,HOME
1927-11-06,1927,1,0,,Arizona Cardinals,TIE,6,6,AWAY
1927-11-13,1927,1,0,,Dayton Triangles,WIN,6,0,HOME
1927-11-20,1927,1,0,,Chicago Bears,LOSS,6,14,AWAY
1927-11-24,1927,1,0,,Franford Yellow Jackets,WIN,17,9,AWAY
1928-09-23,1928,1,0,,Franford Yellow Jackets,LOSS,9,19,HOME
1928-09-30,1928,1,0,,Chicago Bears,TIE,12,12,HOME
1928-10-07,1928,1,0,,New York Giants,LOSS,0,6,HOME
1928-10-14,1928,1,0,,Arizona Cardinals,WIN,20,0,HOME
1928-10-21,1928,1,0,,Chicago Bears,WIN,16,6,AWAY
1928-10-28,1928,1,0,,Dayton Triangles,WIN,17,0,HOME
1928-11-04,1928,1,0,,Boston Bulldogs,WIN,26,14,AWAY
1928-11-11,1928,1,0,,Staten Island Stapletons,TIE,0,0,HOME
1928-11-18,1928,1,0,,New York Giants,WIN,7,0,AWAY
1928-11-25,1928,1,0,,Boston Bulldogs,LOSS,0,26,AWAY
1928-11-29,1928,1,0,,Franford Yellow Jackets,LOSS,0,2,AWAY
1928-12-02,1928,1,0,,Providence Steam Roller,TIE,7,7,AWAY
1928-12-09,1928,1,0,,Chicago Bears,WIN,6,0,AWAY
1929-09-22,1929,1,0,,Dayton Triangles,WIN,9,0,HOME
1929-09-29,1929,1,0,,Chicago Bears,WIN,23,0,HOME
1929-10-06,1929,1,0,,Arizona Cardinals,WIN,9,2,HOME
1929-10-13,1929,1,0,,Franford Yellow Jackets,WIN,14,2,HOME
1929-10-20,1929,1,0,,Minneapolis Red Jackets,WIN,24,0,HOME
